env,nq,mq,dropout,seed,type,status,job_id,final_score,peak_score,purpose,maxsteps
door-binary-v0,4,2,0.01,0,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,4,2,0.01,1,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,4,2,0.01,2,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,4,2,0.01,3,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,4,2,0.01,4,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,6,2,0.01,0,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,6,2,0.01,1,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,6,2,0.01,2,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,6,2,0.01,3,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,6,2,0.01,4,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,10,2,0.01,0,standard,done,50044220,-4983.0,-4815.0,dropout grid,2000000
door-binary-v0,10,2,0.01,1,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,10,2,0.01,2,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,10,2,0.01,3,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,10,2,0.01,4,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,2,2,0.005,0,standard,TODO,,,,,rate sweep,2000000
door-binary-v0,2,2,0.005,1,standard,TODO,,,,,rate sweep,2000000
door-binary-v0,2,2,0.005,2,standard,TODO,,,,,rate sweep,2000000
door-binary-v0,2,2,0.02,0,standard,TODO,,,,,rate sweep,2000000
door-binary-v0,2,2,0.02,1,standard,TODO,,,,,rate sweep,2000000
door-binary-v0,2,2,0.02,2,standard,TODO,,,,,rate sweep,2000000
door-binary-v0,2,1,0,0,DIAG,done,49894186,-11594.5,-6105.0,DIAG,2000000
door-binary-v0,2,2,0,0,DIAG,done,49894186,-13287.5,-7210.0,DIAG,2000000
door-binary-v0,2,1,0.01,0,DIAG,TODO,,,,,DIAG,2000000
door-binary-v0,2,2,0.01,0,DIAG,done,50044235,-4190.0,-3250.0,DIAG,2000000
antmaze-large-diverse-v2,2,1,0,0,standard,TODO,,,,,mq1 control,300000
antmaze-large-diverse-v2,2,1,0,1,standard,TODO,,,,,mq1 control,300000
antmaze-large-diverse-v2,2,1,0,2,standard,TODO,,,,,mq1 control,300000
antmaze-large-diverse-v2,2,1,0,3,standard,TODO,,,,,mq1 control,300000
antmaze-large-diverse-v2,2,1,0,4,standard,TODO,,,,,mq1 control,300000
antmaze-large-diverse-v2,2,2,0,0,standard,TODO,,,,,ensemble redundant,300000
antmaze-large-diverse-v2,2,2,0,1,standard,TODO,,,,,ensemble redundant,300000
antmaze-large-diverse-v2,2,2,0,2,standard,TODO,,,,,ensemble redundant,300000
antmaze-large-diverse-v2,2,2,0,3,standard,TODO,,,,,ensemble redundant,300000
antmaze-large-diverse-v2,2,2,0,4,standard,TODO,,,,,ensemble redundant,300000
antmaze-large-diverse-v2,2,2,0.01,0,standard,TODO,,,,,dropout neutral,300000
antmaze-large-diverse-v2,2,2,0.01,1,standard,TODO,,,,,dropout neutral,300000
antmaze-large-diverse-v2,2,2,0.01,2,standard,TODO,,,,,dropout neutral,300000
antmaze-large-diverse-v2,2,2,0.01,3,standard,TODO,,,,,dropout neutral,300000
antmaze-large-diverse-v2,2,2,0.01,4,standard,TODO,,,,,dropout neutral,300000
antmaze-large-diverse-v2,10,1,0,0,standard,TODO,,,,,mq1 control,300000
antmaze-large-diverse-v2,10,1,0,1,standard,TODO,,,,,mq1 control,300000
antmaze-large-diverse-v2,10,1,0,2,standard,TODO,,,,,mq1 control,300000
antmaze-large-diverse-v2,10,1,0,3,standard,TODO,,,,,mq1 control,300000
antmaze-large-diverse-v2,10,1,0,4,standard,TODO,,,,,mq1 control,300000
antmaze-large-diverse-v2,10,2,0,0,standard,TODO,,,,,ensemble redundant,300000
antmaze-large-diverse-v2,10,2,0,1,standard,TODO,,,,,ensemble redundant,300000
antmaze-large-diverse-v2,10,2,0,2,standard,TODO,,,,,ensemble redundant,300000
antmaze-large-diverse-v2,10,2,0,3,standard,TODO,,,,,ensemble redundant,300000
antmaze-large-diverse-v2,10,2,0,4,standard,TODO,,,,,ensemble redundant,300000
antmaze-large-diverse-v2,2,1,0,0,DIAG,TODO,,,,,antmaze DIAG,300000
antmaze-large-diverse-v2,2,2,0,0,DIAG,TODO,,,,,antmaze DIAG,300000
halfcheetah-medium-v2,2,1,0,0,standard,TODO,,,,,mq1 control,250000
halfcheetah-medium-v2,2,1,0,1,standard,TODO,,,,,mq1 control,250000
halfcheetah-medium-v2,2,1,0,2,standard,TODO,,,,,mq1 control,250000
halfcheetah-medium-v2,2,1,0,3,standard,TODO,,,,,mq1 control,250000
halfcheetah-medium-v2,2,1,0,4,standard,TODO,,,,,mq1 control,250000
halfcheetah-medium-v2,2,2,0,0,standard,TODO,,,,,dense reward,250000
halfcheetah-medium-v2,2,2,0,1,standard,TODO,,,,,dense reward,250000
halfcheetah-medium-v2,2,2,0,2,standard,TODO,,,,,dense reward,250000
halfcheetah-medium-v2,2,2,0,3,standard,TODO,,,,,dense reward,250000
halfcheetah-medium-v2,2,2,0,4,standard,TODO,,,,,dense reward,250000
halfcheetah-medium-v2,2,2,0.01,0,standard,TODO,,,,,dropout on dense,250000
halfcheetah-medium-v2,2,2,0.01,1,standard,TODO,,,,,dropout on dense,250000
halfcheetah-medium-v2,2,2,0.01,2,standard,TODO,,,,,dropout on dense,250000
halfcheetah-medium-v2,2,2,0.01,3,standard,TODO,,,,,dropout on dense,250000
halfcheetah-medium-v2,2,2,0.01,4,standard,TODO,,,,,dropout on dense,250000
halfcheetah-medium-v2,10,1,0,0,standard,TODO,,,,,mq1 control,250000
halfcheetah-medium-v2,10,1,0,1,standard,TODO,,,,,mq1 control,250000
halfcheetah-medium-v2,10,1,0,2,standard,TODO,,,,,mq1 control,250000
halfcheetah-medium-v2,10,1,0,3,standard,TODO,,,,,mq1 control,250000
halfcheetah-medium-v2,10,1,0,4,standard,TODO,,,,,mq1 control,250000
halfcheetah-medium-v2,10,2,0,0,standard,TODO,,,,,dense reward baseline,250000
halfcheetah-medium-v2,10,2,0,1,standard,TODO,,,,,dense reward baseline,250000
halfcheetah-medium-v2,10,2,0,2,standard,TODO,,,,,dense reward baseline,250000
halfcheetah-medium-v2,10,2,0,3,standard,TODO,,,,,dense reward baseline,250000
halfcheetah-medium-v2,10,2,0,4,standard,TODO,,,,,dense reward baseline,250000
halfcheetah-medium-v2,10,2,0.01,0,standard,TODO,,,,,dropout neutral check,250000
halfcheetah-medium-v2,2,2,0,0,DIAG,TODO,,,,,locomotion DIAG,250000
halfcheetah-medium-v2,2,2,0.01,0,DIAG,TODO,,,,,locomotion DIAG,250000
